experiment,dim,method,zone,seed_run,rel_error,mae,n_points,train_time_s
extrapolation,1,VanillaNN,interior,0,0.007053260609691319,0.07155560134032131,200,2.3546409606933594
extrapolation,1,VanillaNN,near,0,0.02379655929278298,0.29695708517396996,200,2.3546409606933594
extrapolation,1,VanillaNN,far,0,0.5115064252890118,13.614285012586434,200,2.3546409606933594
extrapolation,1,PINN,interior,0,0.0296584480038448,0.3008861006524817,200,9.858439683914185
extrapolation,1,PINN,near,0,0.024337878260367537,0.30371220051587755,200,9.858439683914185
extrapolation,1,PINN,far,0,0.025852299056169734,0.6880863077769725,200,9.858439683914185
extrapolation,1,ICPINN,interior,0,0.09061478436102134,0.9192904876316761,200,10.44921875
extrapolation,1,ICPINN,near,0,0.049085094077024084,0.612532521330671,200,10.44921875
extrapolation,1,ICPINN,far,0,0.010478752367185179,0.2789030875273317,200,10.44921875
extrapolation,1,VanillaNN,interior,1,0.008478149532313548,0.08601115450126688,200,2.5680363178253174
extrapolation,1,VanillaNN,near,1,0.021742264492561125,0.27132155574905276,200,2.5680363178253174
extrapolation,1,VanillaNN,far,1,0.511422536087427,13.612052212677405,200,2.5680363178253174
extrapolation,1,PINN,interior,1,0.015987644592215362,0.16219527196250488,200,10.75586462020874
extrapolation,1,PINN,near,1,0.01401974906544135,0.17495234357710643,200,10.75586462020874
extrapolation,1,PINN,far,1,0.021927697339409673,0.5836288783269553,200,10.75586462020874
extrapolation,1,ICPINN,interior,1,0.08405150214166945,0.8527057359883483,200,10.086326122283936
extrapolation,1,ICPINN,near,1,0.04610539997139643,0.5753489409050083,200,10.086326122283936
extrapolation,1,ICPINN,far,1,0.01023781360135473,0.27249024720622883,200,10.086326122283936
extrapolation,1,VanillaNN,interior,2,0.007787007030938324,0.0789994871272008,200,2.329678535461426
extrapolation,1,VanillaNN,near,2,0.027627247790253343,0.3447602182413311,200,2.329678535461426
extrapolation,1,VanillaNN,far,2,0.5244820483758338,13.959644957615623,200,2.329678535461426
extrapolation,1,PINN,interior,2,0.017642279403273134,0.178981606036307,200,9.999248027801514
extrapolation,1,PINN,near,2,0.02454658735746841,0.3063166797753293,200,9.999248027801514
extrapolation,1,PINN,far,2,0.020633945459274213,0.5491943024136973,200,9.999248027801514
extrapolation,1,ICPINN,interior,2,0.09356740977086873,0.9492449864692838,200,10.424931764602661
extrapolation,1,ICPINN,near,2,0.050695250188175854,0.6326256473813643,200,10.424931764602661
extrapolation,1,ICPINN,far,2,0.010500194678222337,0.2794737973353726,200,10.424931764602661
extrapolation,1,VanillaNN,interior,3,0.011391828592970143,0.11557054112190525,200,2.5236313343048096
extrapolation,1,VanillaNN,near,3,0.02198688330403295,0.27437415206516913,200,2.5236313343048096
extrapolation,1,VanillaNN,far,3,0.498579467740185,13.270220352370494,200,2.5236313343048096
extrapolation,1,PINN,interior,3,0.014263601421704117,0.14470478740092488,200,10.13434648513794
extrapolation,1,PINN,near,3,0.016296296360162367,0.20336136021616602,200,10.13434648513794
extrapolation,1,PINN,far,3,0.037240708298593085,0.9912008760421148,200,10.13434648513794
extrapolation,1,ICPINN,interior,3,0.08570326055855808,0.8694628889321945,200,10.264285802841187
extrapolation,1,ICPINN,near,3,0.04693100888750533,0.5856517083851664,200,10.264285802841187
extrapolation,1,ICPINN,far,3,0.010048260479594073,0.2674450902011785,200,10.264285802841187
extrapolation,1,VanillaNN,interior,4,0.009015866100494563,0.09146630985650482,200,2.370887279510498
extrapolation,1,VanillaNN,near,4,0.029296094114740164,0.36558573902463176,200,2.370887279510498
extrapolation,1,VanillaNN,far,4,0.5163191729801258,13.742381387374826,200,2.370887279510498
extrapolation,1,PINN,interior,4,0.027299205890131215,0.2769514982755005,200,9.804920673370361
extrapolation,1,PINN,near,4,0.01911047984096415,0.23847953479433212,200,9.804920673370361
extrapolation,1,PINN,far,4,0.015898066276203392,0.42314386434330337,200,9.804920673370361
extrapolation,1,ICPINN,interior,4,0.10104981097307934,1.0251542356976566,200,10.473455429077148
extrapolation,1,ICPINN,near,4,0.05474701556783123,0.6831875972056051,200,10.473455429077148
extrapolation,1,ICPINN,far,4,0.011601776716155221,0.3087935694588417,200,10.473455429077148
extrapolation,3,VanillaNN,interior,0,0.0059656134729507955,0.03952539642740338,200,2.4663288593292236
extrapolation,3,VanillaNN,near,0,0.020228506147968933,0.1732967524493535,200,2.4663288593292236
extrapolation,3,VanillaNN,far,0,0.603937321063442,14.347600853956374,200,2.4663288593292236
extrapolation,3,PINN,interior,0,0.031133700913592747,0.20627750631877284,200,14.246785879135132
extrapolation,3,PINN,near,0,0.025152646584653403,0.21548165429232227,200,14.246785879135132
extrapolation,3,PINN,far,0,0.049623787570529966,1.1789009754684354,200,14.246785879135132
extrapolation,3,ICPINN,interior,0,0.048099698513558956,0.3186863614961337,200,14.274463891983032
extrapolation,3,ICPINN,near,0,0.026555086455906284,0.2274962970650421,200,14.274463891983032
extrapolation,3,ICPINN,far,0,0.004413735327190646,0.10485610102391014,200,14.274463891983032
extrapolation,3,VanillaNN,interior,1,0.009993966678392566,0.06621540209348123,200,2.415580987930298
extrapolation,3,VanillaNN,near,1,0.029646537293402983,0.25398062500187313,200,2.415580987930298
extrapolation,3,VanillaNN,far,1,0.6200937217568997,14.73142477127637,200,2.415580987930298
extrapolation,3,PINN,interior,1,0.03180070602538504,0.21069677377252805,200,14.807232141494751
extrapolation,3,PINN,near,1,0.01904287675737526,0.1631395158499015,200,14.807232141494751
extrapolation,3,PINN,far,1,0.024873554978447492,0.590915358602611,200,14.807232141494751
extrapolation,3,ICPINN,interior,1,0.050062126344493835,0.3316885008954709,200,14.561552286148071
extrapolation,3,ICPINN,near,1,0.03032809644107202,0.25981951325339403,200,14.561552286148071
extrapolation,3,ICPINN,far,1,0.0051685088142120195,0.122787082185768,200,14.561552286148071
extrapolation,3,VanillaNN,interior,2,0.008700453548988903,0.05764518220653272,200,2.3908777236938477
extrapolation,3,VanillaNN,near,2,0.028395839549830746,0.24326595058788705,200,2.3908777236938477
extrapolation,3,VanillaNN,far,2,0.6131869846733106,14.567342997518683,200,2.3908777236938477
extrapolation,3,PINN,interior,2,0.09066985888013344,0.6007365600375286,200,14.434090375900269
extrapolation,3,PINN,near,2,0.0777360901074433,0.665961780132877,200,14.434090375900269
extrapolation,3,PINN,far,2,0.029061856464491633,0.6904158794049695,200,14.434090375900269
extrapolation,3,ICPINN,interior,2,0.056324110866199005,0.3731775148526952,200,14.979645013809204
