experiment,dim,noise,method,rel_error,mae
noise,3,0.0,VanillaNN,0.013580603480567319,0.17005207717345938
noise,3,0.0,PINN,0.04162897828228752,0.5212650702629967
noise,3,0.01,VanillaNN,0.014618313049780226,0.18304595244563976
noise,3,0.01,PINN,0.042585265908480475,0.5332394053830879
noise,3,0.05,VanillaNN,0.04199426343519056,0.5258390569124614
noise,3,0.05,PINN,0.04918867369236391,0.6159252161925689
noise,3,0.1,VanillaNN,0.07199322555684337,0.9014766954853447
noise,3,0.1,PINN,0.04770710593667113,0.5973734872735051
